Tech Group:
15-1200: Actual $105990, Estimated $152140, Diff $46150
43-3071: Actual $39340, Estimated $44400, Diff $5060
43-3099: Actual $52150, Estimated $45500, Diff $-6650
43-4000: Actual $41600, Estimated $38490, Diff $-3110
43-4011: Actual $62940, Estimated $44400, Diff $-18540
43-4031: Actual $47700, Estimated $45310, Diff $-2390
43-4041: Actual $49130, Estimated $38420, Diff $-10710
43-4061: Actual $51500, Estimated $64300, Diff $12800
43-4071: Actual $41270, Estimated $38410, Diff $-2860
43-4081: Actual $34270, Estimated $28300, Diff $-5970
43-4111: Actual $43830, Estimated $64300, Diff $20470
43-4121: Actual $36010, Estimated $38400, Diff $2390
43-4131: Actual $48950, Estimated $45500, Diff $-3450
43-4141: Actual $46610, Estimated $38410, Diff $-8200
43-4161: Actual $49440, Estimated $56300, Diff $6860
43-4181: Actual $41460, Estimated $38420, Diff $-3040
43-4199: Actual $48360, Estimated $38490, Diff $-9870
43-5011: Actual $49900, Estimated $43900, Diff $-6000
43-5031: Actual $50730, Estimated $56800, Diff $6070
43-5041: Actual $49180, Estimated $50300, Diff $1120
43-5111: Actual $45650, Estimated $43900, Diff $-1750
43-9020: Actual $41480, Estimated $43900, Diff $2420
43-9021: Actual $39850, Estimated $38400, Diff $-1450
43-9022: Actual $47850, Estimated $43900, Diff $-3950
43-9031: Actual $53620, Estimated $56300, Diff $2680
43-9041: Actual $48450, Estimated $45500, Diff $-2950
43-9061: Actual $43630, Estimated $38490, Diff $-5140
43-9081: Actual $49210, Estimated $43900, Diff $-5310
43-9111: Actual $51440, Estimated $76100, Diff $24660
45-2000: Actual $36020, Estimated $24310, Diff $-11710
45-2011: Actual $50990, Estimated $49340, Diff $-1650
45-2021: Actual $52000, Estimated $43300, Diff $-8700
45-2041: Actual $35430, Estimated $41900, Diff $6470
45-2090: Actual $35960, Estimated $24310, Diff $-11650
45-2092: Actual $35690, Estimated $24310, Diff $-11380
45-2093: Actual $36150, Estimated $24310, Diff $-11840
45-2099: Actual $40390, Estimated $24310, Diff $-16080
45-4021: Actual $53900, Estimated $54300, Diff $400
45-4023: Actual $46710, Estimated $44400, Diff $-2310
47-0000: Actual $58360, Estimated $56800, Diff $-1560
47-2011: Actual $73340, Estimated $50300, Diff $-23040
47-2020: Actual $60180, Estimated $45500, Diff $-14680
47-2021: Actual $60800, Estimated $45500, Diff $-15300
47-2022: Actual $51990, Estimated $46300, Diff $-5690
47-2040: Actual $52000, Estimated $45300, Diff $-6700
47-2041: Actual $49850, Estimated $43900, Diff $-5950
47-2042: Actual $54340, Estimated $52800, Diff $-1540
47-2044: Actual $52240, Estimated $43900, Diff $-8340
47-2050: Actual $54700, Estimated $46300, Diff $-8400
47-2051: Actual $54660, Estimated $46300, Diff $-8360
47-2053: Actual $57260, Estimated $43900, Diff $-13360
47-2061: Actual $46730, Estimated $43900, Diff $-2830
47-2071: Actual $51650, Estimated $45500, Diff $-6150
47-2072: Actual $70510, Estimated $43900, Diff $-26610
47-2073: Actual $58710, Estimated $56800, Diff $-1910
47-2080: Actual $58800, Estimated $44900, Diff $-13900
47-2081: Actual $58140, Estimated $44900, Diff $-13240
47-2082: Actual $64700, Estimated $64300, Diff $-400
47-2121: Actual $55440, Estimated $46300, Diff $-9140
47-2130: Actual $50730, Estimated $43900, Diff $-6830
47-2131: Actual $48680, Estimated $43900, Diff $-4780
47-2132: Actual $57250, Estimated $46300, Diff $-10950
47-2140: Actual $48660, Estimated $43900, Diff $-4760
47-2141: Actual $48660, Estimated $46300, Diff $-2360
47-2142: Actual $48260, Estimated $43900, Diff $-4360
47-2150: Actual $62210, Estimated $56800, Diff $-5410
47-2151: Actual $48710, Estimated $56800, Diff $8090
47-2152: Actual $62970, Estimated $56800, Diff $-6170
47-2161: Actual $56020, Estimated $46300, Diff $-9720
47-2171: Actual $59280, Estimated $43900, Diff $-15380
47-2181: Actual $50970, Estimated $43900, Diff $-7070
47-2221: Actual $62700, Estimated $46300, Diff $-16400
47-2231: Actual $51860, Estimated $50340, Diff $-1520
47-3010: Actual $40430, Estimated $56800, Diff $16370
47-3011: Actual $46480, Estimated $45500, Diff $-980
47-3012: Actual $41600, Estimated $56800, Diff $15200
47-3013: Actual $39890, Estimated $56800, Diff $16910
47-3014: Actual $38140, Estimated $43900, Diff $5760
47-3015: Actual $39270, Estimated $56800, Diff $17530
47-3016: Actual $40590, Estimated $43900, Diff $3310
47-3019: Actual $40760, Estimated $46300, Diff $5540
47-4011: Actual $72120, Estimated $62200, Diff $-9920
47-4021: Actual $106580, Estimated $52800, Diff $-53780
47-4031: Actual $46940, Estimated $43900, Diff $-3040
47-4051: Actual $49070, Estimated $46300, Diff $-2770
47-4061: Actual $67370, Estimated $56800, Diff $-10570
47-4071: Actual $49140, Estimated $46300, Diff $-2840
47-5000: Actual $56020, Estimated $24310, Diff $-31710
47-5020: Actual $56020, Estimated $48500, Diff $-7520
47-5022: Actual $52550, Estimated $56800, Diff $4250
47-5023: Actual $59600, Estimated $56800, Diff $-2800
47-5041: Actual $63380, Estimated $48500, Diff $-14880
47-5043: Actual $76640, Estimated $56800, Diff $-19840
47-5044: Actual $68860, Estimated $45500, Diff $-23360
47-5081: Actual $48400, Estimated $24310, Diff $-24090
47-5099: Actual $50110, Estimated $24310, Diff $-25800
49-2020: Actual $62710, Estimated $56800, Diff $-5910
49-2022: Actual $62630, Estimated $56800, Diff $-5830
49-2090: Actual $63120, Estimated $52800, Diff $-10320
49-2097: Actual $50620, Estimated $50340, Diff $-280
49-2098: Actual $59300, Estimated $50340, Diff $-8960
49-3000: Actual $56220, Estimated $46300, Diff $-9920
49-3020: Actual $49950, Estimated $46300, Diff $-3650
49-3021: Actual $51680, Estimated $44300, Diff $-7380
49-3022: Actual $47260, Estimated $45340, Diff $-1920
49-3023: Actual $49670, Estimated $46300, Diff $-3370
49-3031: Actual $60640, Estimated $56800, Diff $-3840
49-3040: Actual $62740, Estimated $56800, Diff $-5940
49-3041: Actual $52080, Estimated $46300, Diff $-5780
49-3042: Actual $63980, Estimated $56800, Diff $-7180
49-3043: Actual $65680, Estimated $52800, Diff $-12880
49-3050: Actual $48240, Estimated $46300, Diff $-1940
49-3051: Actual $54950, Estimated $52800, Diff $-2150
49-3052: Actual $47200, Estimated $46300, Diff $-900
49-3053: Actual $46560, Estimated $46300, Diff $-260
49-3090: Actual $37960, Estimated $46300, Diff $8340
49-3091: Actual $40360, Estimated $44300, Diff $3940
49-3092: Actual $50540, Estimated $44400, Diff $-6140
49-3093: Actual $37120, Estimated $44300, Diff $7180
49-9010: Actual $61600, Estimated $56800, Diff $-4800
49-9012: Actual $74690, Estimated $56800, Diff $-17890
49-9021: Actual $59810, Estimated $56800, Diff $-3010
49-9041: Actual $63760, Estimated $56800, Diff $-6960
49-9051: Actual $92560, Estimated $97310, Diff $4750
49-9052: Actual $70500, Estimated $56800, Diff $-13700
49-9061: Actual $49300, Estimated $45310, Diff $-3990
49-9063: Actual $45320, Estimated $43900, Diff $-1420
49-9092: Actual $61130, Estimated $56800, Diff $-4330
49-9095: Actual $41080, Estimated $45500, Diff $4420
51-0000: Actual $45960, Estimated $114760, Diff $68800
51-2021: Actual $47260, Estimated $43900, Diff $-3360
51-2031: Actual $52540, Estimated $46340, Diff $-6200
51-2041: Actual $49900, Estimated $50300, Diff $400
51-2061: Actual $40790, Estimated $52800, Diff $12010
51-3011: Actual $36650, Estimated $29340, Diff $-7310
51-3020: Actual $38500, Estimated $43300, Diff $4800
51-3021: Actual $38960, Estimated $44300, Diff $5340
51-3023: Actual $39790, Estimated $27340, Diff $-12450
51-3090: Actual $40050, Estimated $24310, Diff $-15740
51-3091: Actual $42730, Estimated $38690, Diff $-4040
51-3093: Actual $40550, Estimated $27340, Diff $-13210
51-4020: Actual $47460, Estimated $46340, Diff $-1120
51-4021: Actual $46980, Estimated $50340, Diff $3360
51-4031: Actual $45590, Estimated $43900, Diff $-1690
51-4034: Actual $48620, Estimated $48500, Diff $-120
51-4050: Actual $54100, Estimated $48500, Diff $-5600
51-4051: Actual $55770, Estimated $52800, Diff $-2970
51-4052: Actual $48940, Estimated $43900, Diff $-5040
51-4060: Actual $59530, Estimated $64300, Diff $4770
51-4062: Actual $54540, Estimated $56800, Diff $2260
51-4070: Actual $41890, Estimated $50300, Diff $8410
51-4071: Actual $45700, Estimated $52800, Diff $7100
51-4111: Actual $63180, Estimated $46300, Diff $-16880
51-4120: Actual $50560, Estimated $46300, Diff $-4260
51-4121: Actual $51000, Estimated $44300, Diff $-6700
51-4122: Actual $47060, Estimated $43900, Diff $-3160
51-4190: Actual $45050, Estimated $43900, Diff $-1150
51-4191: Actual $47450, Estimated $52800, Diff $5350
51-4192: Actual $61870, Estimated $43900, Diff $-17970
51-5110: Actual $44830, Estimated $43900, Diff $-930
51-5111: Actual $47300, Estimated $43900, Diff $-3400
51-6000: Actual $35580, Estimated $38400, Diff $2820
51-6011: Actual $33800, Estimated $27310, Diff $-6490
51-6021: Actual $33880, Estimated $38400, Diff $4520
51-6040: Actual $36460, Estimated $38600, Diff $2140
51-6041: Actual $35950, Estimated $41900, Diff $5950
51-6042: Actual $38160, Estimated $27310, Diff $-10850
51-6050: Actual $39590, Estimated $43900, Diff $4310
51-6051: Actual $33760, Estimated $43900, Diff $10140
51-6052: Actual $40860, Estimated $43900, Diff $3040
51-6061: Actual $37320, Estimated $43300, Diff $5980
51-6062: Actual $37940, Estimated $43900, Diff $5960
51-6063: Actual $38260, Estimated $43900, Diff $5640
51-6090: Actual $43670, Estimated $38400, Diff $-5270
51-6091: Actual $44980, Estimated $43900, Diff $-1080
51-6092: Actual $67670, Estimated $64300, Diff $-3370
51-6093: Actual $46190, Estimated $43900, Diff $-2290
51-6099: Actual $37010, Estimated $41900, Diff $4890
51-7030: Actual $51920, Estimated $64300, Diff $12380
51-7031: Actual $51850, Estimated $64300, Diff $12450
51-7032: Actual $52520, Estimated $64300, Diff $11780
51-8010: Actual $103600, Estimated $97300, Diff $-6300
51-8011: Actual $122610, Estimated $104400, Diff $-18210
51-8012: Actual $107240, Estimated $64300, Diff $-42940
51-8013: Actual $99670, Estimated $101400, Diff $1730
51-8021: Actual $75190, Estimated $91200, Diff $16010
51-8031: Actual $58260, Estimated $56800, Diff $-1460
51-8091: Actual $73540, Estimated $56800, Diff $-16740
51-8092: Actual $83400, Estimated $101490, Diff $18090
51-8093: Actual $97540, Estimated $56800, Diff $-40740
51-9000: Actual $45970, Estimated $64300, Diff $18330
51-9010: Actual $54110, Estimated $50300, Diff $-3810
51-9011: Actual $57090, Estimated $56800, Diff $-290
51-9012: Actual $49500, Estimated $45500, Diff $-4000
51-9021: Actual $46890, Estimated $43900, Diff $-2990
51-9022: Actual $41690, Estimated $41900, Diff $210
51-9030: Actual $45140, Estimated $45500, Diff $360
51-9031: Actual $38800, Estimated $43300, Diff $4500
51-9051: Actual $47010, Estimated $43900, Diff $-3110
51-9061: Actual $47460, Estimated $43900, Diff $-3560
51-9071: Actual $49140, Estimated $45310, Diff $-3830
51-9080: Actual $45820, Estimated $52800, Diff $6980
51-9081: Actual $48310, Estimated $45300, Diff $-3010
51-9082: Actual $47060, Estimated $52800, Diff $5740
51-9083: Actual $38420, Estimated $56800, Diff $18380
51-9123: Actual $40860, Estimated $43900, Diff $3040
51-9141: Actual $51180, Estimated $56800, Diff $5620
51-9160: Actual $51330, Estimated $114760, Diff $63430
51-9162: Actual $65670, Estimated $114760, Diff $49090
51-9192: Actual $41460, Estimated $43900, Diff $2440
51-9194: Actual $40450, Estimated $43900, Diff $3450
51-9195: Actual $45690, Estimated $43900, Diff $-1790
51-9197: Actual $55580, Estimated $45500, Diff $-10080
53-0000: Actual $42740, Estimated $45500, Diff $2760
53-1047: Actual $61890, Estimated $64300, Diff $2410
53-2000: Actual $106500, Estimated $62100, Diff $-44400
53-2010: Actual $198100, Estimated $134100, Diff $-64000
53-2011: Actual $226600, Estimated $164119, Diff $-62481
53-2012: Actual $122670, Estimated $124100, Diff $1430
53-2020: Actual $98920, Estimated $124100, Diff $25180
53-2031: Actual $67130, Estimated $46300, Diff $-20830
53-3011: Actual $34330, Estimated $43300, Diff $8970
53-3030: Actual $49550, Estimated $43900, Diff $-5650
53-3031: Actual $37130, Estimated $24310, Diff $-12820
53-3032: Actual $57440, Estimated $50340, Diff $-7100
53-3033: Actual $44140, Estimated $43900, Diff $-240
53-3050: Actual $45530, Estimated $28300, Diff $-17230
53-3051: Actual $47040, Estimated $41900, Diff $-5140
53-3052: Actual $57440, Estimated $45500, Diff $-11940
53-3053: Actual $36670, Estimated $43900, Diff $7230
53-3054: Actual $36220, Estimated $24310, Diff $-11910
53-4000: Actual $75990, Estimated $56800, Diff $-19190
53-4010: Actual $77400, Estimated $91200, Diff $13800
53-4011: Actual $77400, Estimated $104400, Diff $27000
53-4013: Actual $58030, Estimated $104400, Diff $46370
53-4022: Actual $65480, Estimated $52800, Diff $-12680
53-4031: Actual $74080, Estimated $56800, Diff $-17280
53-4041: Actual $84830, Estimated $38400, Diff $-46430
53-4099: Actual $49330, Estimated $56800, Diff $7470
53-5000: Actual $66490, Estimated $52800, Diff $-13690
53-5011: Actual $49610, Estimated $52800, Diff $3190
53-5020: Actual $82400, Estimated $62300, Diff $-20100
53-5021: Actual $85540, Estimated $62300, Diff $-23240
53-5022: Actual $51880, Estimated $43900, Diff $-7980
53-5031: Actual $101320, Estimated $104600, Diff $3280
53-6000: Actual $36060, Estimated $43900, Diff $7840
53-6011: Actual $58490, Estimated $43900, Diff $-14590
53-6021: Actual $34600, Estimated $24310, Diff $-10290
53-6030: Actual $36000, Estimated $20890, Diff $-15110
53-6031: Actual $34850, Estimated $24310, Diff $-10540
53-6032: Actual $41540, Estimated $24310, Diff $-17230
53-6041: Actual $58480, Estimated $56800, Diff $-1680
53-6051: Actual $85750, Estimated $64300, Diff $-21450
53-6061: Actual $37560, Estimated $20890, Diff $-16670
53-6099: Actual $39630, Estimated $52800, Diff $13170
53-7021: Actual $66370, Estimated $50340, Diff $-16030
53-7041: Actual $52310, Estimated $46300, Diff $-6010
53-7051: Actual $46390, Estimated $45500, Diff $-890
53-7060: Actual $37590, Estimated $39500, Diff $1910
53-7063: Actual $39700, Estimated $43300, Diff $3600
53-7070: Actual $63940, Estimated $56800, Diff $-7140
53-7071: Actual $71510, Estimated $46340, Diff $-25170
53-7072: Actual $60020, Estimated $56800, Diff $-3220
53-7081: Actual $48350, Estimated $43900, Diff $-4450
53-7121: Actual $58070, Estimated $56800, Diff $-1270
